image,alpha,beta,sigma,ssim,psnr,score
0870.png,2.5,-1.5,1.0,0.9594517195401329,33.398039747200485,0.8720044421612958
0871.png,2.5,-1.5,1.0,0.9585961834498642,35.10580684098199,0.8816521694607968
0872.png,2.5,-1.5,1.0,0.8762700311768654,26.618329386309814,0.7730989981416646
0873.png,2.5,-1.5,1.0,0.8618489093255054,26.216554451325432,0.7605935632358063
0874.png,2.5,-1.5,1.0,0.9035465350526242,32.54139261011914,0.8277309301975517
0875.png,2.5,-1.5,1.0,0.8402700810015139,26.625062168680568,0.7479394297131431
0876.png,2.5,-1.5,1.0,0.794742170874788,24.180594518584403,0.701403086723858
0877.png,2.5,-1.5,1.0,0.9823855235784164,41.7023702981552,0.9378840882938226
0878.png,2.5,-1.5,1.0,0.9557759103391413,34.77781166603027,0.8777100072335805
0879.png,2.5,-1.5,1.0,0.929234292030418,29.669702489229937,0.8284822193566721
0880.png,2.5,-1.5,1.0,0.9624630459157438,36.0056277910872,0.8897578988875439
0881.png,2.5,-1.5,1.0,0.8906606175684909,28.5176540412945,0.7945683565457107
0882.png,2.5,-1.5,1.0,0.9725158732057213,36.39530882802849,0.8991329642121758
0883.png,2.5,-1.5,1.0,0.9499595950999902,33.0867197860005,0.863492035285996
0884.png,2.5,-1.5,1.0,0.8838963820025165,28.88692688570664,0.7920490287160014
0885.png,2.5,-1.5,1.0,0.8116398598491688,25.25410701392336,0.7196725439779583
0886.png,2.0,-1.0,1.0,0.9449528583290993,39.48956523596006,0.8984043922461298
0887.png,2.5,-1.5,1.0,0.8870439693158012,27.570954258263633,0.7863565040706426
0888.png,2.5,-1.5,1.0,0.9373919996211643,32.61659821637313,0.8518739890330537
0889.png,2.5,-1.5,1.0,0.9694295740077475,34.79082811957778,0.8873456705228899
0890.png,2.5,-1.5,1.0,0.85109254019168,27.018718708943048,0.7578770903878342
0891.png,2.5,-1.5,1.0,0.8799832062127267,27.726943082742324,0.7823499028453625
0892.png,2.5,-1.5,1.0,0.9411715189142994,31.16929732645584,0.8458358471987446
0893.png,2.5,-1.5,1.0,0.8762006122803859,34.593676291867006,0.8209024863474721
0894.png,2.5,-1.5,1.0,0.9547462166329594,34.19847847378318,0.8735132224857707
0895.png,2.5,-1.5,1.0,0.8220457744441246,23.217101123515867,0.7147346488519823
0896.png,2.0,-1.0,1.0,0.9614252801297122,39.87754232267009,0.912262950026819
0897.png,2.5,-1.5,1.0,0.8873827474840937,25.052539196791205,0.7714831584196129
0898.png,2.5,-1.5,1.0,0.94394808745061,37.89149652775923,0.8881126403819823
0899.png,2.5,-1.5,1.0,0.9326352534444309,30.451723982411487,0.8355550213055705
0900.png,2.5,-1.5,1.0,0.9219487019116943,29.858620386202375,0.8245158136554002
